Mixture,Classical monocytes,NK cells,B cells,pDC,Mast cells,T cytotoxic,Non-classical monocytes,cDC2,cDC1,DC_Mature,Tregs,T helper,B Plasma,Macrophage,Macrophage_Alveolar,P-value,Correlation,RMSE,Absolute score (sig.score)
DSP-1001660014616-A-B12.dcc,0.089029551220111,0.0846601630936962,0.165815628826981,0.0417849181879966,0.119138507426144,0.0687718370346791,0.0595511501049141,0.0125135356719376,0.0418196884663652,0.246502157064328,0.19184998928638,0.0370212535490386,0,0,0.0187993491213282,0,0.168471021113238,0.987666880485287,1.1772577290539
DSP-1001660014616-A-C01.dcc,0.00313220021709566,0.026743913968788,0.0646930607754944,0.101190809736363,0.17626927757801,0.0482826089865578,0.0804224283696113,0.19816824496671,0.0524229580532884,0.206549961490563,0.115300661902622,0.0894766282489041,0.0414110832709771,0.104496877566412,0.129623563470648,0,0.259674769497179,0.96552084364574,1.43818427860204
DSP-1001660014616-A-C02.dcc,0.00355709886273517,0.0386503428964088,0.0257055230193934,0.130145860596954,0.18850582091198,0,0.0743698034103312,0.14627781303387,0.043033734861771,0.209260330982343,0.0926835593331561,0.17074822090159,0.0626779534609251,0.133416462081767,0.124971063949209,0,0.266506429617576,0.963527426444326,1.44400358830243
DSP-1001660014616-A-C03.dcc,0,0.0853892440055366,0.105025512390254,0.107085843431917,0.198812416633469,0,0.109141504308923,0.0936424242876765,0.0360425511236092,0.184045677556437,0.0967233747520091,0.121227435181206,0.0408174939861607,0.156254090230303,0.0866921384263993,0,0.367393760044972,0.938899510003289,1.4208997063139
DSP-1001660014616-A-C04.dcc,0,0.0539189427234707,0.0814490383596743,0.106278973439632,0.194001038953232,0.0649831605638898,0.0222975513683118,0.184143562148535,0,0.15000326584983,0.0863555658909731,0.139085460660585,0.040857551195394,0.185681122992775,0.118931381924877,0,0.261892023724965,0.964924608455125,1.42798661607118
DSP-1001660014616-A-C05.dcc,0.0258239794512134,0.12752869610439,0.0708866438201387,0.104651847732071,0.161341811956337,0,0.0502687079108563,0.0717191466732906,0,0.162810156871303,0.152077183527777,0.167600749221511,0.0334255230371968,0.228200944985852,0.0727815358314138,0,0.260926491159646,0.965388098217451,1.42911692712335
DSP-1001660014616-A-C06.dcc,0.112456160455803,0.130528954712946,0.0337705665421531,0.0884909941252466,0.112355803785114,0.00393313016559577,0.0772973047689558,0.13401327822427,0,0.172704899387387,0.115978366094264,0.0892595441860256,0.0184235250270144,0.159280219934713,0.086778488815312,0,0.382087723038045,0.934868115075266,1.3352712362248
DSP-1001660014616-A-C07.dcc,0,0.0302378511768387,0.0297093374799722,0.139321270139523,0.137655848650147,0,0.0412378704671019,0.151877097714219,0,0.167791145665363,0.0628698093749376,0.242567909606513,0.0316703384631796,0.209143912583044,0.084559327025996,0,0.418980914096934,0.92319554295434,1.32864171834684
DSP-1001660014616-A-C08.dcc,0.0213123613043039,0.0345174575616413,0.0650962117705795,0.158002503421103,0.172116176220091,0.0200188603472401,0.0572490777291639,0.0412296522126494,0.00659982355395607,0.170276708912767,0.0773062719353127,0.156786527618893,0.107875546704416,0.210821951237174,0.0557261049869491,0,0.338336868740376,0.940908062987815,1.35493523551624
DSP-1001660014616-A-C09.dcc,0,0.109858751561833,0.0856669859719045,0.0964541110068017,0.177498286161269,0,0.0579981812032655,0.0578060729123402,0,0.220322568873272,0.134645633879827,0.0530732710475421,0.0498014441006362,0.255072056540154,0.0374608723067014,0,0.394741316950196,0.926673053942926,1.33565823556555
DSP-1001660014616-A-C10.dcc,0.0377701002845637,0.0656039458503064,0.0456105942786809,0.103681606048486,0.154864330530966,0.0877131463174134,0.0931339494660254,0,0,0.222069726360391,0.0304199650194595,0.18085141618038,0.0565225157682384,0.187132232104058,0.0996191566628918,0,0.403942728618635,0.925501145832435,1.36499268487186
DSP-1001660014616-A-C11.dcc,0.0299483456759758,0.0315301524148046,0.0318961409383923,0.152502818173845,0.121475944732708,0.10008092990411,0,0.204029773721082,0,0.129718851443465,0.0555416482428724,0.171114489313929,0,0.158248803130151,0.155071913302525,0,0.345181363721283,0.943931130339758,1.34115981099386
DSP-1001660014616-A-C12.dcc,0.00537985656363051,0.0882910129273135,0.0372715721955487,0.122677055803631,0.164046301980755,0,0.0680928245832795,0.105817479794402,0,0.15391171137702,0.119343360973629,0.206976122767105,0.0161522426332886,0.186266834113904,0.071867815244753,0,0.354997549388023,0.94336143931526,1.34609419095826
DSP-1001660014616-A-D01.dcc,0,0.106847961210703,0.00754622817592038,0.11231041223048,0.118745087243036,0.0776950129018595,0.0455627664234464,0.181793444811645,0,0.1896883596614,0.112213313879502,0.0802539851847502,0.00432067717841186,0.202871984428603,0.118365937187274,0,0.290372180741209,0.957575772957235,1.35821517051703
DSP-1001660014616-A-D02.dcc,0.0216751332892929,0.0611595588900614,0.0851870126664793,0.142091374945649,0.0993525525852982,0,0,0.118097291527173,0,0.186086476125446,0,0.335144323223187,0.00632006515772905,0.179319399014661,0.108861726758689,0,0.343637399675592,0.945188354730554,1.34329491418367
DSP-1001660014616-A-D03.dcc,0.0214182351261278,0.0607404976681437,0.0830470037714922,0.137043636718976,0.103035367840121,0.107334961865237,0.0213656087661919,0.167256645130449,0,0.139244353039611,0.133985084419332,0.137337454667013,0.0124915627829672,0.175232067734393,0.0838990395607778,0,0.165247554740586,0.987098576079467,1.38343151909083
DSP-1001660014616-A-D04.dcc,0,0.0427323031154059,0,0.0918794106000007,0.103021487345892,0.00831461793591757,0,0.0566770042503632,0.10212906256879,0.225081705928552,0.162757364705308,0.150761880007511,0.0244593032280825,0.297256575561158,0.0789813029970522,0,0.370977204609248,0.931921997582388,1.34405201824403
DSP-1001660014616-A-D05.dcc,0,0.0296769763323933,0.0530350515822527,0.142248029868804,0.197365096973862,0.00448854589627068,0.0448603433586636,0.0131178426623804,0.0534766936115411,0.145488641360652,0.103768181185678,0.171791611737221,0.158229066620851,0.132750445826512,0.0917850608662405,0,0.349314550437853,0.938174661478857,1.34208158788332
DSP-1001660014616-A-D06.dcc,0,0.0388995740475048,0.0725667723838295,0.155613204436177,0.192440992959824,0.00607208082716351,0.095818027348185,0.0146349275242045,0.00679680797077095,0.239514374194025,0.105285536124983,0.175979974235181,0.105431963284564,0.158401986343006,0.0269067835854601,0,0.219018246208801,0.979721679231108,1.39436300526488
DSP-1001660014616-A-D07.dcc,0,0.0278392338432574,0.0352254468082786,0.107922196684317,0.133509587583342,0.0171513233694017,0.0816523132641007,0.134858513679633,0.0338930590099583,0.0954166149964457,0.113201801685043,0.135767554372301,0.277585179742989,0.124115729556657,0.0613067776858452,0,0.479735657993437,0.885855831197911,1.37944533228157
DSP-1001660014616-A-D08.dcc,0.0291461877537998,0.0122036033074051,0.121488109125072,0.110607322128425,0.177207944817641,0,0.065272903502085,0.0119165279173532,0,0.204803197200087,0.130860590934693,0.168150652246328,0.0287834305780592,0.137234076308585,0.0903482117126194,0,0.356491353414692,0.94178521102698,1.28802275753215
