"","Mixture","Classical.monocytes","NK.cells","B.cells","pDC","Mast.cells","T.cytotoxic","Non.classical.monocytes","cDC2","cDC1","DC_Mature","Tregs","T.helper","B.Plasma","Macrophage","Macrophage_Alveolar","P.value","Correlation","RMSE","Absolute.score..sig.score."
"264","DSP-1001660011972-E-B03.dcc",0.0266869871268473,0.0252571594717469,0.127963563493462,0.101847241045773,0.0980880514360084,0.0968246740512232,0.0425337837509995,0.09859034200696,0,0.166622461557748,0.113787284454002,0.105655635680771,0.0534499216355997,0.167713874227403,0.0798127549025072,0,0.431769610967862,0.921401613040042,1.30483373484105
"265","DSP-1001660011972-E-B04.dcc",0.0235129496032363,0.0265382978508303,0.118408106697302,0.0960286574759443,0.116945973471268,0.0425568554858359,0.0481225202826654,0.150298784554815,0,0.208233450622114,0.0538890812607563,0.166100206738768,0.0573501929266775,0.15722655045382,0.0424635507845005,0,0.425695960986037,0.921594509933643,1.30767517820853
"282","DSP-1001660011972-E-C09.dcc",0.0336922669957849,0.0457807431904364,0.113718968272044,0.0779644070504929,0.131516114389404,0.0659331813288235,0.0265907540030075,0.00153490179567257,0,0.216127687443092,0.10038489838584,0.0695801875470884,0.163142434201853,0.174387622807586,0.0705178087350107,0,0.367849140993329,0.93142825994905,1.29087197614614
"283","DSP-1001660011972-E-C10.dcc",0.0439998137001386,0.105964065643249,0.0914274940316945,0.110853250768675,0.109259898187274,0,0.0275452909163204,0.0769201002051752,0,0.196899742349609,0.110089159833871,0.206900918353663,0.013472365245032,0.0968019080655207,0.0318551297721377,0,0.424297785682074,0.930509739981295,1.22198913707236
"284","DSP-1001660011972-E-C11.dcc",0,0.0641720173189554,0.105081082738029,0.0698177924330997,0.109947359859825,0.0793516181021234,0.0701280987257212,0.129412621432523,0,0.180731209437854,0.0508174148514737,0.177065033580626,0.0639953228434505,0.0952702239768561,0.0402939565111798,0,0.381599315374627,0.934243573212182,1.23608375181172
"285","DSP-1001660011972-E-C12.dcc",0.0277877738486466,0.083419240951671,0.0853077069266008,0.0725089360832792,0.118888776426349,0,0.0401387640197619,0.0976734670886037,0,0.19338471019635,0.133606335385194,0.172682924693493,0.0252078762429022,0.166410283461239,0.0552043819853171,0,0.439219460692981,0.92292575527791,1.27222117730941
"286","DSP-1001660011972-E-D01.dcc",0.0211935627661523,0.0647124542894383,0.112806391143897,0.0938594124595008,0.113343134353678,0.0345470664005598,0.0498015927638712,0.110514933770091,0,0.183783749352664,0.0889864342907631,0.161244721879728,0.0415426325806457,0.140648544022366,0.054639947624732,0,0.4345990277795,0.924146195499091,1.27162457769809
"287","DSP-1001660011972-E-D02.dcc",0.0252960711979714,0.0762594327798647,0.103334545397916,0.0990482258815623,0.07501466505488,0.109245372377811,0.015806823058752,0.101714538022829,0,0.172489145235365,0.092407570095228,0.108046962680773,0.136365020358557,0.0995610491015967,0.061506787888915,0,0.40209286039059,0.91623888555384,1.27609620913202
"288","DSP-1001660011972-E-D03.dcc",0.01009309597337,0.068577500613244,0.145299614633,0.0781066329814619,0.100794428901519,0.0618087987468581,0.0448408284342308,0.0515491597065334,0,0.186903322323544,0.0727625718323996,0.149181239551023,0.0821890034163974,0.155190711011224,0.0423217141252813,0,0.416583253557156,0.919210074446318,1.24961862225009
"301","DSP-1001660011972-E-E04.dcc",0.190807559714155,0.0554154672632811,0.0359522044241489,0.0905977448588841,0.14639695785574,0.0213292019471653,0,0.0649832224937155,0.0401614005668296,0.140885754754471,0.0679848093954593,0.188577229782786,0.0174295714778078,0.188463709836697,0.22998192956572,0,0.407215398677217,0.921401968784337,1.47896676393686
